pro_seq,con_seq,o_pc,o_cp,diff,has_a6
a2 a4 a5 a8,a9 a12 a13 a16,1,1,0,False
a1 a3 a4 a7,a9 a10 a14 a16,2,1,1,False
a3 a5 a6 a8,a9 a11 a14 a15,3,2,1,False
a2 a3 a4 a5,a9 a14 a15 a16,1,1,0,False
a3 a4 a5 a7,a11 a12 a15 a16,1,1,0,False
a3 a4 a5 a6,a9 a11 a12 a15,3,2,1,False
a1 a4 a6 a8,a9 a11 a14 a15,1,1,0,False
a1 a3 a4 a6,a9 a11 a13 a15,3,1,2,False
a1 a4 a5 a6,a10 a11 a13 a14,1,1,0,False
a1 a2 a5 a8,a9 a10 a12 a14,1,1,0,False
a2 a4 a5 a6,a9 a10 a12 a13,1,1,0,False
a2 a3 a5 a8,a11 a13 a15 a16,3,1,2,False
a1 a4 a7 a8,a9 a11 a13 a16,3,1,2,False
a2 a3 a4 a6,a9 a11 a13 a15,1,2,-1,False
a2 a4 a6 a8,a9 a11 a12 a13,3,1,2,False
a1 a2 a4 a8,a10 a11 a15 a16,2,2,0,False
a1 a2 a3 a8,a10 a13 a14 a15,1,1,0,False
a3 a4 a6 a8,a11 a12 a14 a15,3,2,1,False
a3 a4 a5 a6,a10 a14 a15 a16,1,2,-1,False
a1 a3 a4 a6,a9 a11 a15 a16,3,1,2,False
a1 a5 a6 a8,a12 a14 a15 a16,3,1,2,False
a2 a3 a4 a8,a10 a11 a15 a16,1,3,-2,False
a3 a4 a6 a8,a9 a10 a11 a16,3,3,0,False
a1 a2 a5 a8,a10 a11 a13 a14,1,1,0,False
a4 a6 a7 a8,a9 a11 a13 a14,1,1,0,False
