experiment,i,j,pair_type,calibrated_STS
1_paper(indep),a1,a2,pro-pro,2.3779
1_paper(indep),a1,a3,pro-pro,2.6573
1_paper(indep),a1,a4,pro-pro,2.3779
1_paper(indep),a1,a5,pro-pro,1.4833
1_paper(indep),a1,a6,pro-con,1.4614
1_paper(indep),a1,a7,pro-con,1.6187
1_paper(indep),a1,a8,pro-con,0.6713
1_paper(indep),a1,a9,pro-con,1.4287
1_paper(indep),a1,a10,pro-con,1.4614
1_paper(indep),a2,a3,pro-pro,1.6187
1_paper(indep),a2,a4,pro-pro,2.6573
1_paper(indep),a2,a5,pro-pro,0.9855
1_paper(indep),a2,a6,pro-con,1.4614
1_paper(indep),a2,a7,pro-con,1.4614
1_paper(indep),a2,a8,pro-con,0.4432
1_paper(indep),a2,a9,pro-con,0.9855
1_paper(indep),a2,a10,pro-con,1.3351
1_paper(indep),a3,a4,pro-pro,1.6491
1_paper(indep),a3,a5,pro-pro,1.6947
1_paper(indep),a3,a6,pro-con,2.1415
1_paper(indep),a3,a7,pro-con,1.3351
1_paper(indep),a3,a8,pro-con,1.4614
1_paper(indep),a3,a9,pro-con,1.6187
1_paper(indep),a3,a10,pro-con,1.6491
1_paper(indep),a4,a5,pro-pro,0.8729
1_paper(indep),a4,a6,pro-con,1.3351
1_paper(indep),a4,a7,pro-con,2.3779
1_paper(indep),a4,a8,pro-con,0.4432
1_paper(indep),a4,a9,pro-con,1.6187
1_paper(indep),a4,a10,pro-con,1.4614
1_paper(indep),a5,a6,pro-con,0.9472
1_paper(indep),a5,a7,pro-con,0.4432
1_paper(indep),a5,a8,pro-con,0.6568
1_paper(indep),a5,a9,pro-con,0.6713
1_paper(indep),a5,a10,pro-con,0.8729
1_paper(indep),a6,a7,con-con,1.2696
1_paper(indep),a6,a8,con-con,1.6187
1_paper(indep),a6,a9,con-con,0.8729
1_paper(indep),a6,a10,con-con,2.3779
1_paper(indep),a7,a8,con-con,0.4432
1_paper(indep),a7,a9,con-con,1.3351
1_paper(indep),a7,a10,con-con,1.375
1_paper(indep),a8,a9,con-con,0.4432
1_paper(indep),a8,a10,con-con,0.8729
1_paper(indep),a9,a10,con-con,1.4614
2_without_indep,a1,a2,pro-pro,2.3779
2_without_indep,a1,a3,pro-pro,2.9652
2_without_indep,a1,a4,pro-pro,2.8565
2_without_indep,a1,a5,pro-pro,2.9652
2_without_indep,a1,a6,pro-con,1.4833
2_without_indep,a1,a7,pro-con,1.6491
2_without_indep,a1,a8,pro-con,2.5534
2_without_indep,a1,a9,pro-con,2.1415
2_without_indep,a1,a10,pro-con,1.3351
2_without_indep,a2,a3,pro-pro,1.6491
2_without_indep,a2,a4,pro-pro,2.3779
2_without_indep,a2,a5,pro-pro,2.8565
2_without_indep,a2,a6,pro-con,2.1415
2_without_indep,a2,a7,pro-con,1.4614
2_without_indep,a2,a8,pro-con,2.0357
2_without_indep,a2,a9,pro-con,1.3351
2_without_indep,a2,a10,pro-con,2.3779
2_without_indep,a3,a4,pro-pro,2.5534
2_without_indep,a3,a5,pro-pro,2.6573
2_without_indep,a3,a6,pro-con,1.6187
2_without_indep,a3,a7,pro-con,2.1415
2_without_indep,a3,a8,pro-con,2.1415
2_without_indep,a3,a9,pro-con,1.6947
2_without_indep,a3,a10,pro-con,0.9855
2_without_indep,a4,a5,pro-pro,2.3779
2_without_indep,a4,a6,pro-con,1.6491
2_without_indep,a4,a7,pro-con,1.4614
2_without_indep,a4,a8,pro-con,2.8565
2_without_indep,a4,a9,pro-con,1.6187
2_without_indep,a4,a10,pro-con,1.4614
