pro_seq,con_seq,o_pc,o_cp,diff,has_a6
a1 a2 a4 a5,a6 a7 a8 a9,3,3,0,True
a1 a3 a4 a5,a6 a7 a8 a10,3,2,1,True
a2 a3 a4 a5,a6 a8 a9 a10,2,3,-1,True
a1 a2 a3 a5,a7 a8 a9 a10,1,2,-1,False
a1 a2 a4 a5,a6 a7 a8 a10,3,2,1,True
a1 a2 a3 a4,a6 a8 a9 a10,2,3,-1,True
a2 a3 a4 a5,a6 a7 a9 a10,2,4,-2,True
a1 a2 a3 a5,a6 a8 a9 a10,2,3,-1,True
a1 a3 a4 a5,a7 a8 a9 a10,2,2,0,False
a1 a2 a3 a4,a6 a7 a9 a10,2,3,-1,True
a2 a3 a4 a5,a6 a7 a8 a9,1,3,-2,True
a1 a2 a4 a5,a7 a8 a9 a10,1,2,-1,False
a1 a2 a3 a5,a6 a7 a9 a10,2,2,0,True
a2 a3 a4 a5,a6 a7 a8 a10,3,3,0,True
a1 a2 a3 a4,a6 a7 a8 a9,3,3,0,True
a1 a3 a4 a5,a6 a8 a9 a10,3,2,1,True
a1 a2 a4 a5,a6 a8 a9 a10,1,3,-2,True
a1 a2 a3 a5,a6 a7 a8 a9,3,4,-1,True
a1 a2 a3 a4,a6 a7 a8 a10,1,3,-2,True
a1 a3 a4 a5,a6 a7 a9 a10,1,2,-1,True
a1 a2 a3 a5,a6 a7 a8 a10,3,3,0,True
a2 a3 a4 a5,a7 a8 a9 a10,3,3,0,False
a1 a2 a4 a5,a6 a7 a9 a10,2,3,-1,True
a1 a2 a3 a4,a7 a8 a9 a10,1,3,-2,False
a1 a3 a4 a5,a6 a7 a8 a9,3,3,0,True
