cortege,setting,opp_valence,chosen
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a3
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a3
"(a5,a3,a1)",human,pro,a5
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a3
"(a5,a3,a1)",human,pro,a3
"(a5,a3,a1)",human,pro,a3
"(a5,a3,a1)",human,pro,a3
"(a5,a3,a1)",human,pro,a3
"(a5,a3,a1)",human,pro,a3
"(a5,a3,a1)",human,pro,a5
"(a5,a3,a1)",human,pro,a3
"(a5,a3,a1)",human,pro,a3
"(a5,a3,a1)",human,pro,a3
"(a5,a3,a1)",human,pro,a3
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a3
"(a5,a3,a1)",human,pro,a3
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a5
"(a5,a3,a1)",human,pro,a5
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a5
"(a5,a3,a1)",human,pro,a5
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a5
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,pro,a5
"(a5,a3,a1)",human,pro,a5
"(a5,a3,a1)",human,con,a1
"(a5,a3,a1)",human,pro,a5
"(a5,a3,a1)",human,pro,a5
"(a5,a3,a1)",human,con,a1
"(a5,a3,a1)",human,con,a1
"(a5,a3,a1)",human,con,a1
"(a5,a3,a1)",human,con,a1
"(a5,a3,a1)",human,con,a1
"(a5,a3,a1)",human,con,a1
"(a5,a3,a1)",human,con,a5
"(a5,a3,a1)",human,con,a1
"(a5,a3,a1)",human,pro,a1
"(a5,a3,a1)",human,con,a3
"(a5,a3,a1)",human,con,a1
"(a5,a3,a1)",human,con,a5
"(a5,a3,a1)",human,con,a1
"(a5,a3,a1)",human,con,a1
"(a5,a3,a1)",human,con,a1
"(a5,a3,a1)",human,con,a1
"(a5,a3,a1)",human,con,a1
"(a5,a3,a1)",human,pro,a5
