cortege,setting,trial,chosen,chosen_position,first_arg
"(a2,a3)",llm,0,a2,1,a2
"(a2,a3)",llm,1,a2,1,a2
"(a2,a3)",llm,2,a2,1,a2
"(a2,a3)",llm,3,a2,1,a2
"(a2,a3)",llm,4,a2,1,a2
"(a2,a3)",llm,5,a2,1,a2
"(a2,a3)",llm,6,a2,1,a2
"(a2,a3)",llm,7,a3,2,a2
"(a2,a3)",llm,8,a2,1,a2
"(a2,a3)",llm,9,a2,1,a2
"(a2,a3)",llm,10,a2,1,a2
"(a2,a3)",llm,11,a2,1,a2
"(a2,a3)",llm,12,a2,1,a2
"(a2,a3)",llm,13,a2,1,a2
"(a2,a3)",llm,14,a2,1,a2
"(a2,a3)",llm,15,a3,2,a2
"(a2,a3)",llm,16,a2,1,a2
"(a2,a3)",llm,17,a2,1,a2
"(a2,a3)",llm,18,a2,1,a2
"(a2,a3)",llm,19,a2,1,a2
"(a2,a3)",llm,20,a3,2,a2
"(a2,a3)",llm,21,a2,1,a2
"(a2,a3)",llm,22,a2,1,a2
"(a2,a3)",llm,23,a2,1,a2
"(a2,a3)",llm,24,a2,1,a2
"(a2,a3)",llm,25,a2,1,a2
"(a2,a3)",llm,26,a2,1,a2
"(a2,a3)",llm,27,a2,1,a2
"(a2,a3)",llm,28,a2,1,a2
"(a2,a3)",llm,29,a2,1,a2
"(a2,a3)",llm,30,a2,1,a2
"(a2,a3)",llm,31,a2,1,a2
"(a2,a3)",llm,32,a3,2,a2
"(a2,a3)",llm,33,a2,1,a2
"(a2,a3)",llm,34,a2,1,a2
"(a2,a3)",llm,35,a2,1,a2
"(a2,a3)",llm,36,a2,1,a2
"(a2,a3)",llm,37,a3,2,a2
"(a2,a3)",llm,38,a2,1,a2
"(a2,a3)",llm,39,a2,1,a2
"(a2,a3)",llm,40,a2,1,a2
"(a2,a3)",llm,41,a2,1,a2
"(a2,a3)",llm,42,a3,2,a2
"(a2,a3)",llm,43,a3,2,a2
"(a2,a3)",llm,44,a2,1,a2
"(a2,a3)",llm,45,a2,1,a2
"(a2,a3)",llm,46,a2,1,a2
"(a2,a3)",llm,47,a3,2,a2
"(a2,a3)",llm,48,a2,1,a2
"(a2,a3)",llm,49,a2,1,a2
"(a3,a2)",llm,0,a3,1,a3
"(a3,a2)",llm,1,a3,1,a3
"(a3,a2)",llm,2,a3,1,a3
"(a3,a2)",llm,3,a3,1,a3
"(a3,a2)",llm,4,a3,1,a3
"(a3,a2)",llm,5,a3,1,a3
"(a3,a2)",llm,6,a3,1,a3
"(a3,a2)",llm,7,a3,1,a3
"(a3,a2)",llm,8,a3,1,a3
"(a3,a2)",llm,9,a3,1,a3
"(a3,a2)",llm,10,a3,1,a3
"(a3,a2)",llm,11,a3,1,a3
"(a3,a2)",llm,12,a3,1,a3
"(a3,a2)",llm,13,a3,1,a3
"(a3,a2)",llm,14,a3,1,a3
"(a3,a2)",llm,15,a3,1,a3
"(a3,a2)",llm,16,a3,1,a3
"(a3,a2)",llm,17,a3,1,a3
"(a3,a2)",llm,18,a3,1,a3
"(a3,a2)",llm,19,a3,1,a3
"(a3,a2)",llm,20,a3,1,a3
"(a3,a2)",llm,21,a3,1,a3
"(a3,a2)",llm,22,a3,1,a3
"(a3,a2)",llm,23,a3,1,a3
"(a3,a2)",llm,24,a3,1,a3
"(a3,a2)",llm,25,a3,1,a3
"(a3,a2)",llm,26,a3,1,a3
"(a3,a2)",llm,27,a3,1,a3
"(a3,a2)",llm,28,a3,1,a3
"(a3,a2)",llm,29,a3,1,a3
"(a3,a2)",llm,30,a3,1,a3
"(a3,a2)",llm,31,a3,1,a3
"(a3,a2)",llm,32,a3,1,a3
"(a3,a2)",llm,33,a3,1,a3
"(a3,a2)",llm,34,a3,1,a3
"(a3,a2)",llm,35,a3,1,a3
"(a3,a2)",llm,36,a3,1,a3
"(a3,a2)",llm,37,a3,1,a3
"(a3,a2)",llm,38,a3,1,a3
"(a3,a2)",llm,39,a3,1,a3
"(a3,a2)",llm,40,a3,1,a3
"(a3,a2)",llm,41,a3,1,a3
"(a3,a2)",llm,42,a3,1,a3
"(a3,a2)",llm,43,a3,1,a3
"(a3,a2)",llm,44,a3,1,a3
"(a3,a2)",llm,45,a3,1,a3
"(a3,a2)",llm,46,a3,1,a3
"(a3,a2)",llm,47,a3,1,a3
"(a3,a2)",llm,48,a3,1,a3
"(a3,a2)",llm,49,a3,1,a3
