,1,2,3,4,5,6,7,8,9,10,opinion
0,0,0,0,0,0,0,0,0,0,0,-1
1,1,0,0,0,0,0,0,0,0,0,6
2,0,1,0,0,0,0,0,0,0,0,6
3,1,1,0,0,0,0,0,0,0,0,6
4,0,0,1,0,0,0,0,0,0,0,5
5,1,0,1,0,0,0,0,0,0,0,6
6,0,1,1,0,0,0,0,0,0,0,6
7,1,1,1,0,0,0,0,0,0,0,6
8,0,0,0,1,0,0,0,0,0,0,5
9,1,0,0,1,0,0,0,0,0,0,6
10,0,1,0,1,0,0,0,0,0,0,6
11,1,1,0,1,0,0,0,0,0,0,6
12,0,0,1,1,0,0,0,0,0,0,5
13,1,0,1,1,0,0,0,0,0,0,6
14,0,1,1,1,0,0,0,0,0,0,6
15,1,1,1,1,0,0,0,0,0,0,6
16,0,0,0,0,1,0,0,0,0,0,5
17,1,0,0,0,1,0,0,0,0,0,6
18,0,1,0,0,1,0,0,0,0,0,6
19,1,1,0,0,1,0,0,0,0,0,6
20,0,0,1,0,1,0,0,0,0,0,6
21,1,0,1,0,1,0,0,0,0,0,6
22,0,1,1,0,1,0,0,0,0,0,6
23,1,1,1,0,1,0,0,0,0,0,6
24,0,0,0,1,1,0,0,0,0,0,5
25,1,0,0,1,1,0,0,0,0,0,6
26,0,1,0,1,1,0,0,0,0,0,6
27,1,1,0,1,1,0,0,0,0,0,6
28,0,0,1,1,1,0,0,0,0,0,6
29,1,0,1,1,1,0,0,0,0,0,6
30,0,1,1,1,1,0,0,0,0,0,6
31,1,1,1,1,1,0,0,0,0,0,6
32,0,0,0,0,0,1,0,0,0,0,2
33,1,0,0,0,0,1,0,0,0,0,4
34,0,1,0,0,0,1,0,0,0,0,-1
35,1,1,0,0,0,1,0,0,0,0,-1
36,0,0,1,0,0,1,0,0,0,0,4
37,1,0,1,0,0,1,0,0,0,0,-1
38,0,1,1,0,0,1,0,0,0,0,-1
39,1,1,1,0,0,1,0,0,0,0,-1
40,0,0,0,1,0,1,0,0,0,0,4
41,1,0,0,1,0,1,0,0,0,0,-1
42,0,1,0,1,0,1,0,0,0,0,-1
43,1,1,0,1,0,1,0,0,0,0,-1
44,0,0,1,1,0,1,0,0,0,0,-1
45,1,0,1,1,0,1,0,0,0,0,-1
46,0,1,1,1,0,1,0,0,0,0,-1
47,1,1,1,1,0,1,0,0,0,0,4
48,0,0,0,0,1,1,0,0,0,0,4
49,1,0,0,0,1,1,0,0,0,0,-1
50,0,1,0,0,1,1,0,0,0,0,-1
51,1,1,0,0,1,1,0,0,0,0,-1
52,0,0,1,0,1,1,0,0,0,0,-1
53,1,0,1,0,1,1,0,0,0,0,-1
54,0,1,1,0,1,1,0,0,0,0,-1
55,1,1,1,0,1,1,0,0,0,0,-1
56,0,0,0,1,1,1,0,0,0,0,-1
57,1,0,0,1,1,1,0,0,0,0,-1
58,0,1,0,1,1,1,0,0,0,0,-1
59,1,1,0,1,1,1,0,0,0,0,-1
60,0,0,1,1,1,1,0,0,0,0,5
61,1,0,1,1,1,1,0,0,0,0,-1
62,0,1,1,1,1,1,0,0,0,0,-1
63,1,1,1,1,1,1,0,0,0,0,-1
64,0,0,0,0,0,0,1,0,0,0,2
65,1,0,0,0,0,0,1,0,0,0,4
66,0,1,0,0,0,0,1,0,0,0,4
67,1,1,0,0,0,0,1,0,0,0,-1
68,0,0,1,0,0,0,1,0,0,0,4
69,1,0,1,0,0,0,1,0,0,0,5
70,0,1,1,0,0,0,1,0,0,0,5
71,1,1,1,0,0,0,1,0,0,0,5
72,0,0,0,1,0,0,1,0,0,0,4
73,1,0,0,1,0,0,1,0,0,0,5
74,0,1,0,1,0,0,1,0,0,0,5
75,1,1,0,1,0,0,1,0,0,0,5
76,0,0,1,1,0,0,1,0,0,0,-1
77,1,0,1,1,0,0,1,0,0,0,-1
78,0,1,1,1,0,0,1,0,0,0,-1
79,1,1,1,1,0,0,1,0,0,0,5
80,0,0,0,0,1,0,1,0,0,0,4
81,1,0,0,0,1,0,1,0,0,0,4
82,0,1,0,0,1,0,1,0,0,0,5
83,1,1,0,0,1,0,1,0,0,0,5
84,0,0,1,0,1,0,1,0,0,0,5
85,1,0,1,0,1,0,1,0,0,0,5
86,0,1,1,0,1,0,1,0,0,0,-1
87,1,1,1,0,1,0,1,0,0,0,5
88,0,0,0,1,1,0,1,0,0,0,5
89,1,0,0,1,1,0,1,0,0,0,5
90,0,1,0,1,1,0,1,0,0,0,5
91,1,1,0,1,1,0,1,0,0,0,5
92,0,0,1,1,1,0,1,0,0,0,5
93,1,0,1,1,1,0,1,0,0,0,5
94,0,1,1,1,1,0,1,0,0,0,5
95,1,1,1,1,1,0,1,0,0,0,5
96,0,0,0,0,0,1,1,0,0,0,2
97,1,0,0,0,0,1,1,0,0,0,-1
98,0,1,0,0,0,1,1,0,0,0,-1
99,1,1,0,0,0,1,1,0,0,0,-1
100,0,0,1,0,0,1,1,0,0,0,-1
101,1,0,1,0,0,1,1,0,0,0,-1
102,0,1,1,0,0,1,1,0,0,0,-1
103,1,1,1,0,0,1,1,0,0,0,-1
104,0,0,0,1,0,1,1,0,0,0,-1
105,1,0,0,1,0,1,1,0,0,0,-1
106,0,1,0,1,0,1,1,0,0,0,4
107,1,1,0,1,0,1,1,0,0,0,-1
108,0,0,1,1,0,1,1,0,0,0,-1
109,1,0,1,1,0,1,1,0,0,0,-1
110,0,1,1,1,0,1,1,0,0,0,-1
111,1,1,1,1,0,1,1,0,0,0,4
112,0,0,0,0,1,1,1,0,0,0,-1
113,1,0,0,0,1,1,1,0,0,0,-1
114,0,1,0,0,1,1,1,0,0,0,-1
115,1,1,0,0,1,1,1,0,0,0,-1
116,0,0,1,0,1,1,1,0,0,0,-1
117,1,0,1,0,1,1,1,0,0,0,-1
118,0,1,1,0,1,1,1,0,0,0,-1
119,1,1,1,0,1,1,1,0,0,0,4
120,0,0,0,1,1,1,1,0,0,0,-1
121,1,0,0,1,1,1,1,0,0,0,-1
122,0,1,0,1,1,1,1,0,0,0,-1
123,1,1,0,1,1,1,1,0,0,0,-1
