pro,con,o_pc,o_cp,diff
a7,a13,4,4,0
a7,a16,4,4,0
a5,a10,4,4,0
a5,a13,4,4,0
a4,a11,4,4,0
a6,a14,4,4,0
a5,a16,4,4,0
a4,a14,4,4,0
a6,a11,4,4,0
a1,a9,4,4,0
a1,a15,5,4,1
a3,a12,4,4,0
a2,a10,5,4,1
a1,a12,4,4,0
a3,a9,4,4,0
a3,a15,4,4,0
a2,a13,4,4,0
a2,a16,4,4,0
a7,a12,4,4,0
a8,a11,4,4,0
a7,a9,4,4,0
a7,a15,4,4,0
a8,a14,4,4,0
a4,a10,4,4,0
a5,a9,4,4,0
a5,a15,5,4,1
a4,a13,4,4,0
a6,a10,4,4,0
a5,a12,4,4,0
a4,a16,4,4,0
a6,a13,4,4,0
a6,a16,4,4,0
a1,a11,4,4,0
a2,a12,5,4,1
a1,a14,4,4,0
a3,a11,4,4,0
a2,a9,5,4,1
a2,a15,5,4,1
a3,a14,4,4,0
a8,a10,4,4,0
a7,a14,4,4,0
a8,a13,4,4,0
a7,a11,4,4,0
a8,a16,4,4,0
a4,a12,5,4,1
a5,a11,4,4,0
a4,a9,4,4,0
a4,a15,5,4,1
a6,a12,4,4,0
a5,a14,4,4,0
a6,a9,4,4,0
a6,a15,4,4,0
a1,a10,4,4,0
a1,a13,4,4,0
a3,a10,4,4,0
a2,a14,4,4,0
a1,a16,4,4,0
a3,a13,4,4,0
a2,a11,5,4,1
a3,a16,4,4,0
a8,a12,4,4,0
a7,a10,4,4,0
a8,a9,4,4,0
a8,a15,4,4,0
