pro_seq,con_seq,o_pc,o_cp,diff,has_a6
a1 a2 a4 a5,a6 a7 a8 a9,3,1,2,True
a1 a3 a4 a5,a6 a7 a8 a10,3,1,2,True
a2 a3 a4 a5,a6 a8 a9 a10,5,1,4,True
a1 a2 a3 a5,a7 a8 a9 a10,6,1,5,False
a1 a2 a4 a5,a6 a7 a8 a10,3,1,2,True
a1 a2 a3 a4,a6 a8 a9 a10,6,3,3,True
a2 a3 a4 a5,a6 a7 a9 a10,5,1,4,True
a1 a2 a3 a5,a6 a8 a9 a10,5,3,2,True
a1 a3 a4 a5,a7 a8 a9 a10,5,3,2,False
a1 a2 a3 a4,a6 a7 a9 a10,6,1,5,True
a2 a3 a4 a5,a6 a7 a8 a9,3,1,2,True
a1 a2 a4 a5,a7 a8 a9 a10,6,1,5,False
a1 a2 a3 a5,a6 a7 a9 a10,4,1,3,True
a2 a3 a4 a5,a6 a7 a8 a10,5,1,4,True
a1 a2 a3 a4,a6 a7 a8 a9,5,1,4,True
a1 a3 a4 a5,a6 a8 a9 a10,3,3,0,True
a1 a2 a4 a5,a6 a8 a9 a10,3,3,0,True
a1 a2 a3 a5,a6 a7 a8 a9,6,1,5,True
a1 a2 a3 a4,a6 a7 a8 a10,6,1,5,True
a1 a3 a4 a5,a6 a7 a9 a10,4,1,3,True
a1 a2 a3 a5,a6 a7 a8 a10,5,1,4,True
a2 a3 a4 a5,a7 a8 a9 a10,5,1,4,False
a1 a2 a4 a5,a6 a7 a9 a10,3,1,2,True
a1 a2 a3 a4,a7 a8 a9 a10,6,1,5,False
a1 a3 a4 a5,a6 a7 a8 a9,4,1,3,True
