cortege,setting,opp_valence,chosen
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a4
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a4
"(a1,a4,a7)",human,pro,a4
"(a1,a4,a7)",human,pro,a4
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a4
"(a1,a4,a7)",human,pro,a4
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a4
"(a1,a4,a7)",human,pro,a4
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a7
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a7
"(a1,a4,a7)",human,pro,a7
"(a1,a4,a7)",human,pro,a7
"(a1,a4,a7)",human,pro,a7
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a4
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a7
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a7
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,pro,a7
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,pro,a1
"(a1,a4,a7)",human,con,a7
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a7
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a7
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",human,con,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a7
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a4
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a4
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a4
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a4
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a4
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a7
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a7
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a7
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a7
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,pro,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
"(a1,a4,a7)",llm,con,a1
