experiment,i,j,valence_i,valence_j,pair_type,cosine,calibrated_STS,arg_i,arg_j
1_paper(indep),1,2,pro,pro,pro-pro,0.6625,1.6491,"Individuals have a fundamental right to protect themselves, …",The Second Amendment explicitly protects this right as part …
1_paper(indep),1,3,pro,pro,pro-pro,0.678,1.6947,"Individuals have a fundamental right to protect themselves, …",An armed citizenry serves as a check against potential gover…
1_paper(indep),1,4,pro,pro,pro-pro,0.6946,2.1415,"Individuals have a fundamental right to protect themselves, …",People in remote areas often require firearms for protection…
1_paper(indep),1,5,pro,pro,pro-pro,0.6526,1.6491,"Individuals have a fundamental right to protect themselves, …",Firearms allow physically weaker individuals to defend thems…
1_paper(indep),1,6,pro,con,pro-con,0.5299,0.8729,"Individuals have a fundamental right to protect themselves, …",Countries with stricter gun laws consistently show lower rat…
1_paper(indep),1,7,pro,con,pro-con,0.5449,0.9472,"Individuals have a fundamental right to protect themselves, …",Widespread gun ownership leads to preventable deaths through…
1_paper(indep),1,8,pro,con,pro-con,0.5509,0.9855,"Individuals have a fundamental right to protect themselves, …",Easy access to firearms significantly increases successful s…
1_paper(indep),1,9,pro,con,pro-con,0.5089,0.8729,"Individuals have a fundamental right to protect themselves, …",Firearms in homes increase the likelihood that domestic disp…
1_paper(indep),1,10,pro,con,pro-con,0.5338,0.9472,"Individuals have a fundamental right to protect themselves, …",The original intent of armed militias is obsolete given prof…
1_paper(indep),2,3,pro,pro,pro-pro,0.6345,1.6187,The Second Amendment explicitly protects this right as part …,An armed citizenry serves as a check against potential gover…
1_paper(indep),2,4,pro,pro,pro-pro,0.4913,0.6713,The Second Amendment explicitly protects this right as part …,People in remote areas often require firearms for protection…
1_paper(indep),2,5,pro,pro,pro-pro,0.6354,1.6187,The Second Amendment explicitly protects this right as part …,Firearms allow physically weaker individuals to defend thems…
1_paper(indep),2,6,pro,con,pro-con,0.5134,0.8729,The Second Amendment explicitly protects this right as part …,Countries with stricter gun laws consistently show lower rat…
1_paper(indep),2,7,pro,con,pro-con,0.4797,0.6713,The Second Amendment explicitly protects this right as part …,Widespread gun ownership leads to preventable deaths through…
1_paper(indep),2,8,pro,con,pro-con,0.443,0.6367,The Second Amendment explicitly protects this right as part …,Easy access to firearms significantly increases successful s…
1_paper(indep),2,9,pro,con,pro-con,0.4171,0.4432,The Second Amendment explicitly protects this right as part …,Firearms in homes increase the likelihood that domestic disp…
1_paper(indep),2,10,pro,con,pro-con,0.4986,0.8729,The Second Amendment explicitly protects this right as part …,The original intent of armed militias is obsolete given prof…
1_paper(indep),3,4,pro,pro,pro-pro,0.6343,1.6187,An armed citizenry serves as a check against potential gover…,People in remote areas often require firearms for protection…
1_paper(indep),3,5,pro,pro,pro-pro,0.6418,1.6187,An armed citizenry serves as a check against potential gover…,Firearms allow physically weaker individuals to defend thems…
1_paper(indep),3,6,pro,con,pro-con,0.6039,1.4614,An armed citizenry serves as a check against potential gover…,Countries with stricter gun laws consistently show lower rat…
1_paper(indep),3,7,pro,con,pro-con,0.5596,0.9855,An armed citizenry serves as a check against potential gover…,Widespread gun ownership leads to preventable deaths through…
1_paper(indep),3,8,pro,con,pro-con,0.5385,0.9472,An armed citizenry serves as a check against potential gover…,Easy access to firearms significantly increases successful s…
1_paper(indep),3,9,pro,con,pro-con,0.5265,0.8729,An armed citizenry serves as a check against potential gover…,Firearms in homes increase the likelihood that domestic disp…
1_paper(indep),3,10,pro,con,pro-con,0.6238,1.4833,An armed citizenry serves as a check against potential gover…,The original intent of armed militias is obsolete given prof…
1_paper(indep),4,5,pro,pro,pro-pro,0.6258,1.4833,People in remote areas often require firearms for protection…,Firearms allow physically weaker individuals to defend thems…
1_paper(indep),4,6,pro,con,pro-con,0.62,1.4833,People in remote areas often require firearms for protection…,Countries with stricter gun laws consistently show lower rat…
1_paper(indep),4,7,pro,con,pro-con,0.627,1.6187,People in remote areas often require firearms for protection…,Widespread gun ownership leads to preventable deaths through…
1_paper(indep),4,8,pro,con,pro-con,0.6368,1.6187,People in remote areas often require firearms for protection…,Easy access to firearms significantly increases successful s…
1_paper(indep),4,9,pro,con,pro-con,0.6291,1.6187,People in remote areas often require firearms for protection…,Firearms in homes increase the likelihood that domestic disp…
1_paper(indep),4,10,pro,con,pro-con,0.5905,1.3351,People in remote areas often require firearms for protection…,The original intent of armed militias is obsolete given prof…
1_paper(indep),5,6,pro,con,pro-con,0.6135,1.4614,Firearms allow physically weaker individuals to defend thems…,Countries with stricter gun laws consistently show lower rat…
1_paper(indep),5,7,pro,con,pro-con,0.5859,1.3351,Firearms allow physically weaker individuals to defend thems…,Widespread gun ownership leads to preventable deaths through…
1_paper(indep),5,8,pro,con,pro-con,0.6135,1.4614,Firearms allow physically weaker individuals to defend thems…,Easy access to firearms significantly increases successful s…
1_paper(indep),5,9,pro,con,pro-con,0.5702,1.3351,Firearms allow physically weaker individuals to defend thems…,Firearms in homes increase the likelihood that domestic disp…
1_paper(indep),5,10,pro,con,pro-con,0.5722,1.3351,Firearms allow physically weaker individuals to defend thems…,The original intent of armed militias is obsolete given prof…
1_paper(indep),6,7,con,con,con-con,0.7077,2.3779,Countries with stricter gun laws consistently show lower rat…,Widespread gun ownership leads to preventable deaths through…
1_paper(indep),6,8,con,con,con-con,0.6368,1.6187,Countries with stricter gun laws consistently show lower rat…,Easy access to firearms significantly increases successful s…
1_paper(indep),6,9,con,con,con-con,0.5936,1.4091,Countries with stricter gun laws consistently show lower rat…,Firearms in homes increase the likelihood that domestic disp…
1_paper(indep),6,10,con,con,con-con,0.4839,0.6713,Countries with stricter gun laws consistently show lower rat…,The original intent of armed militias is obsolete given prof…
1_paper(indep),7,8,con,con,con-con,0.6854,2.1415,Widespread gun ownership leads to preventable deaths through…,Easy access to firearms significantly increases successful s…
1_paper(indep),7,9,con,con,con-con,0.6869,2.1415,Widespread gun ownership leads to preventable deaths through…,Firearms in homes increase the likelihood that domestic disp…
