,1,2,3,4,5,6,7,8,9,10,opinion
0,0,0,0,0,0,0,0,0,0,0,-1
1,1,0,0,0,0,0,0,0,0,0,7
2,0,1,0,0,0,0,0,0,0,0,7
3,1,1,0,0,0,0,0,0,0,0,7
4,0,0,1,0,0,0,0,0,0,0,7
5,1,0,1,0,0,0,0,0,0,0,7
6,0,1,1,0,0,0,0,0,0,0,7
7,1,1,1,0,0,0,0,0,0,0,7
8,0,0,0,1,0,0,0,0,0,0,6
9,1,0,0,1,0,0,0,0,0,0,7
10,0,1,0,1,0,0,0,0,0,0,7
11,1,1,0,1,0,0,0,0,0,0,7
12,0,0,1,1,0,0,0,0,0,0,7
13,1,0,1,1,0,0,0,0,0,0,7
14,0,1,1,1,0,0,0,0,0,0,7
15,1,1,1,1,0,0,0,0,0,0,7
16,0,0,0,0,1,0,0,0,0,0,7
17,1,0,0,0,1,0,0,0,0,0,7
18,0,1,0,0,1,0,0,0,0,0,7
19,1,1,0,0,1,0,0,0,0,0,7
20,0,0,1,0,1,0,0,0,0,0,7
21,1,0,1,0,1,0,0,0,0,0,7
22,0,1,1,0,1,0,0,0,0,0,7
23,1,1,1,0,1,0,0,0,0,0,7
24,0,0,0,1,1,0,0,0,0,0,7
25,1,0,0,1,1,0,0,0,0,0,7
26,0,1,0,1,1,0,0,0,0,0,7
27,1,1,0,1,1,0,0,0,0,0,7
28,0,0,1,1,1,0,0,0,0,0,7
29,1,0,1,1,1,0,0,0,0,0,7
30,0,1,1,1,1,0,0,0,0,0,7
31,1,1,1,1,1,0,0,0,0,0,7
32,0,0,0,0,0,1,0,0,0,0,1
33,1,0,0,0,0,1,0,0,0,0,4
34,0,1,0,0,0,1,0,0,0,0,4
35,1,1,0,0,0,1,0,0,0,0,5
36,0,0,1,0,0,1,0,0,0,0,4
37,1,0,1,0,0,1,0,0,0,0,6
38,0,1,1,0,0,1,0,0,0,0,6
39,1,1,1,0,0,1,0,0,0,0,6
40,0,0,0,1,0,1,0,0,0,0,4
41,1,0,0,1,0,1,0,0,0,0,5
42,0,1,0,1,0,1,0,0,0,0,5
43,1,1,0,1,0,1,0,0,0,0,6
44,0,0,1,1,0,1,0,0,0,0,4
45,1,0,1,1,0,1,0,0,0,0,6
46,0,1,1,1,0,1,0,0,0,0,6
47,1,1,1,1,0,1,0,0,0,0,6
48,0,0,0,0,1,1,0,0,0,0,4
49,1,0,0,0,1,1,0,0,0,0,4
50,0,1,0,0,1,1,0,0,0,0,5
51,1,1,0,0,1,1,0,0,0,0,6
52,0,0,1,0,1,1,0,0,0,0,4
53,1,0,1,0,1,1,0,0,0,0,6
54,0,1,1,0,1,1,0,0,0,0,6
55,1,1,1,0,1,1,0,0,0,0,7
56,0,0,0,1,1,1,0,0,0,0,5
57,1,0,0,1,1,1,0,0,0,0,6
58,0,1,0,1,1,1,0,0,0,0,5
59,1,1,0,1,1,1,0,0,0,0,6
60,0,0,1,1,1,1,0,0,0,0,5
61,1,0,1,1,1,1,0,0,0,0,6
62,0,1,1,1,1,1,0,0,0,0,5
63,1,1,1,1,1,1,0,0,0,0,7
64,0,0,0,0,0,0,1,0,0,0,1
65,1,0,0,0,0,0,1,0,0,0,5
66,0,1,0,0,0,0,1,0,0,0,5
67,1,1,0,0,0,0,1,0,0,0,6
68,0,0,1,0,0,0,1,0,0,0,5
69,1,0,1,0,0,0,1,0,0,0,5
70,0,1,1,0,0,0,1,0,0,0,6
71,1,1,1,0,0,0,1,0,0,0,7
72,0,0,0,1,0,0,1,0,0,0,4
73,1,0,0,1,0,0,1,0,0,0,6
74,0,1,0,1,0,0,1,0,0,0,6
75,1,1,0,1,0,0,1,0,0,0,7
76,0,0,1,1,0,0,1,0,0,0,5
77,1,0,1,1,0,0,1,0,0,0,6
78,0,1,1,1,0,0,1,0,0,0,7
79,1,1,1,1,0,0,1,0,0,0,7
80,0,0,0,0,1,0,1,0,0,0,4
81,1,0,0,0,1,0,1,0,0,0,6
82,0,1,0,0,1,0,1,0,0,0,6
83,1,1,0,0,1,0,1,0,0,0,6
84,0,0,1,0,1,0,1,0,0,0,5
85,1,0,1,0,1,0,1,0,0,0,6
86,0,1,1,0,1,0,1,0,0,0,7
87,1,1,1,0,1,0,1,0,0,0,7
88,0,0,0,1,1,0,1,0,0,0,6
89,1,0,0,1,1,0,1,0,0,0,6
90,0,1,0,1,1,0,1,0,0,0,6
91,1,1,0,1,1,0,1,0,0,0,7
92,0,0,1,1,1,0,1,0,0,0,6
93,1,0,1,1,1,0,1,0,0,0,7
94,0,1,1,1,1,0,1,0,0,0,7
95,1,1,1,1,1,0,1,0,0,0,7
96,0,0,0,0,0,1,1,0,0,0,1
97,1,0,0,0,0,1,1,0,0,0,4
98,0,1,0,0,0,1,1,0,0,0,4
99,1,1,0,0,0,1,1,0,0,0,4
100,0,0,1,0,0,1,1,0,0,0,4
101,1,0,1,0,0,1,1,0,0,0,4
102,0,1,1,0,0,1,1,0,0,0,4
103,1,1,1,0,0,1,1,0,0,0,5
104,0,0,0,1,0,1,1,0,0,0,3
105,1,0,0,1,0,1,1,0,0,0,4
106,0,1,0,1,0,1,1,0,0,0,4
107,1,1,0,1,0,1,1,0,0,0,4
108,0,0,1,1,0,1,1,0,0,0,4
109,1,0,1,1,0,1,1,0,0,0,5
110,0,1,1,1,0,1,1,0,0,0,5
111,1,1,1,1,0,1,1,0,0,0,5
112,0,0,0,0,1,1,1,0,0,0,4
113,1,0,0,0,1,1,1,0,0,0,4
114,0,1,0,0,1,1,1,0,0,0,4
115,1,1,0,0,1,1,1,0,0,0,5
116,0,0,1,0,1,1,1,0,0,0,4
117,1,0,1,0,1,1,1,0,0,0,4
118,0,1,1,0,1,1,1,0,0,0,5
119,1,1,1,0,1,1,1,0,0,0,6
120,0,0,0,1,1,1,1,0,0,0,4
