held,received,held_val,received_val,setting,endorse
a1,a1,pro,pro,human,1
a1,a1,pro,pro,human,1
a1,a1,pro,pro,human,1
a1,a1,pro,pro,human,1
a1,a1,pro,pro,human,1
a1,a1,pro,pro,human,1
a1,a1,pro,pro,human,1
a1,a1,pro,pro,human,1
a1,a1,pro,pro,human,1
a1,a1,pro,pro,human,1
a1,a1,pro,pro,llm,1
a1,a1,pro,pro,human,1
a1,a1,pro,pro,llm,1
a1,a1,pro,pro,llm,1
a1,a1,pro,pro,llm,1
a1,a1,pro,pro,llm,1
a1,a1,pro,pro,llm,1
a1,a1,pro,pro,llm,1
a1,a1,pro,pro,llm,1
a1,a1,pro,pro,human,1
a1,a1,pro,pro,unknown,1
a1,a1,pro,pro,llm,1
a1,a1,pro,pro,unknown,1
a1,a1,pro,pro,unknown,1
a1,a1,pro,pro,unknown,1
a1,a1,pro,pro,llm,1
a1,a1,pro,pro,unknown,1
a1,a1,pro,pro,unknown,1
a1,a1,pro,pro,unknown,1
a1,a1,pro,pro,llm,1
a1,a1,pro,pro,unknown,1
a1,a1,pro,pro,llm,1
a1,a2,pro,pro,human,1
a1,a2,pro,pro,human,1
a1,a1,pro,pro,unknown,1
a1,a1,pro,pro,unknown,1
a1,a2,pro,pro,human,1
a1,a2,pro,pro,human,1
a1,a1,pro,pro,unknown,1
a1,a2,pro,pro,human,1
a1,a2,pro,pro,human,1
a1,a2,pro,pro,human,1
a1,a2,pro,pro,human,1
a1,a2,pro,pro,human,1
a1,a2,pro,pro,human,1
a1,a2,pro,pro,human,1
a1,a2,pro,pro,llm,1
a1,a2,pro,pro,human,1
a1,a2,pro,pro,llm,1
a1,a2,pro,pro,llm,1
a1,a2,pro,pro,llm,1
a1,a2,pro,pro,llm,1
a1,a2,pro,pro,llm,1
a1,a2,pro,pro,unknown,1
a1,a2,pro,pro,llm,1
a1,a1,pro,pro,unknown,1
a1,a2,pro,pro,llm,1
a1,a2,pro,pro,unknown,1
a1,a2,pro,pro,unknown,1
a1,a2,pro,pro,llm,1
a1,a2,pro,pro,llm,1
a1,a2,pro,pro,unknown,1
a1,a2,pro,pro,unknown,1
a1,a2,pro,pro,llm,1
a1,a2,pro,pro,unknown,1
a1,a2,pro,pro,unknown,1
a1,a2,pro,pro,unknown,1
a1,a2,pro,pro,unknown,1
a1,a2,pro,pro,unknown,1
a1,a3,pro,pro,human,1
a1,a2,pro,pro,unknown,1
a1,a3,pro,pro,human,1
a1,a3,pro,pro,human,1
a1,a3,pro,pro,human,1
a1,a3,pro,pro,human,1
a1,a3,pro,pro,human,1
a1,a3,pro,pro,human,1
a1,a3,pro,pro,human,1
a1,a3,pro,pro,human,1
a1,a3,pro,pro,human,1
a1,a2,pro,pro,unknown,1
a1,a3,pro,pro,human,1
a1,a2,pro,pro,llm,1
a1,a3,pro,pro,llm,1
a1,a3,pro,pro,llm,1
a1,a3,pro,pro,llm,1
a1,a3,pro,pro,llm,1
a1,a3,pro,pro,llm,1
a1,a3,pro,pro,llm,1
a1,a3,pro,pro,llm,1
a1,a3,pro,pro,human,1
a1,a3,pro,pro,llm,1
a1,a3,pro,pro,llm,1
a1,a3,pro,pro,llm,1
a1,a3,pro,pro,unknown,1
a1,a3,pro,pro,unknown,1
a1,a3,pro,pro,unknown,1
a1,a3,pro,pro,unknown,1
a1,a3,pro,pro,unknown,1
a1,a3,pro,pro,unknown,1
a1,a3,pro,pro,unknown,1
a1,a3,pro,pro,llm,1
a1,a3,pro,pro,llm,1
a1,a4,pro,pro,human,1
a1,a3,pro,pro,unknown,1
a1,a4,pro,pro,human,1
a1,a3,pro,pro,unknown,1
a1,a4,pro,pro,human,1
a1,a4,pro,pro,human,1
a1,a3,pro,pro,unknown,1
a1,a3,pro,pro,unknown,1
a1,a4,pro,pro,human,1
a1,a4,pro,pro,human,1
a1,a4,pro,pro,human,1
a1,a4,pro,pro,human,1
a1,a4,pro,pro,human,1
a1,a4,pro,pro,human,1
a1,a3,pro,pro,unknown,1
a1,a4,pro,pro,human,1
a1,a4,pro,pro,human,1
a1,a4,pro,pro,llm,1
a1,a4,pro,pro,llm,1
a1,a4,pro,pro,llm,1
a1,a4,pro,pro,llm,1
a1,a4,pro,pro,llm,1
a1,a4,pro,pro,llm,1
a1,a4,pro,pro,llm,1
a1,a4,pro,pro,llm,1
a1,a4,pro,pro,unknown,1
a1,a4,pro,pro,llm,1
a1,a4,pro,pro,unknown,1
a1,a4,pro,pro,llm,1
a1,a4,pro,pro,unknown,1
a1,a4,pro,pro,llm,1
a1,a4,pro,pro,unknown,1
a1,a4,pro,pro,unknown,1
a1,a4,pro,pro,unknown,1
a1,a4,pro,pro,unknown,1
a1,a4,pro,pro,unknown,1
a1,a4,pro,pro,llm,1
a1,a4,pro,pro,unknown,1
a1,a5,pro,pro,human,1
a1,a5,pro,pro,human,1
a1,a5,pro,pro,human,1
a1,a5,pro,pro,human,1
a1,a4,pro,pro,unknown,1
a1,a5,pro,pro,human,1
a1,a4,pro,pro,unknown,1
a1,a5,pro,pro,human,1
a1,a5,pro,pro,human,1
a1,a5,pro,pro,human,1
a1,a4,pro,pro,unknown,1
a1,a5,pro,pro,human,1
a1,a5,pro,pro,llm,1
a1,a5,pro,pro,llm,1
a1,a5,pro,pro,llm,1
a1,a5,pro,pro,llm,1
a1,a5,pro,pro,llm,1
a1,a5,pro,pro,llm,1
a1,a5,pro,pro,llm,1
a1,a5,pro,pro,llm,1
a1,a5,pro,pro,human,1
a1,a5,pro,pro,llm,1
a1,a5,pro,pro,human,1
a1,a5,pro,pro,human,1
a1,a5,pro,pro,unknown,1
a1,a5,pro,pro,llm,1
a1,a5,pro,pro,llm,1
a1,a5,pro,pro,llm,1
a1,a5,pro,pro,unknown,1
a1,a5,pro,pro,unknown,1
a1,a5,pro,pro,unknown,1
a1,a5,pro,pro,unknown,1
a1,a5,pro,pro,unknown,1
a1,a5,pro,pro,unknown,1
a1,a5,pro,pro,unknown,1
a1,a6,pro,con,human,0
a1,a6,pro,con,human,0
a1,a6,pro,con,human,0
a1,a5,pro,pro,unknown,1
a1,a6,pro,con,human,0
a1,a6,pro,con,human,1
a1,a6,pro,con,human,0
a1,a6,pro,con,human,1
a1,a5,pro,pro,unknown,1
a1,a6,pro,con,human,0
a1,a6,pro,con,human,0
a1,a6,pro,con,human,0
a1,a6,pro,con,llm,0
a1,a6,pro,con,llm,1
a1,a6,pro,con,human,0
a1,a6,pro,con,llm,1
a1,a6,pro,con,llm,0
a1,a6,pro,con,llm,0
a1,a6,pro,con,llm,0
a1,a6,pro,con,human,0
a1,a6,pro,con,llm,0
a1,a6,pro,con,llm,0
a1,a6,pro,con,unknown,0
a1,a6,pro,con,llm,1
a1,a6,pro,con,llm,0
a1,a6,pro,con,llm,0
a1,a6,pro,con,unknown,0
a1,a5,pro,pro,unknown,1
a1,a6,pro,con,llm,0
a1,a6,pro,con,unknown,0
a1,a6,pro,con,unknown,0
a1,a6,pro,con,unknown,0
a1,a6,pro,con,unknown,0
a1,a6,pro,con,unknown,0
a1,a6,pro,con,unknown,0
a1,a6,pro,con,unknown,0
a1,a6,pro,con,unknown,0
a1,a7,pro,con,human,1
a1,a7,pro,con,human,1
a1,a7,pro,con,human,1
a1,a6,pro,con,unknown,0
a1,a5,pro,pro,unknown,1
a1,a6,pro,con,unknown,0
a1,a7,pro,con,human,1
a1,a7,pro,con,human,1
a1,a7,pro,con,human,1
a1,a7,pro,con,human,1
a1,a7,pro,con,human,1
a1,a7,pro,con,human,1
a1,a7,pro,con,human,1
a1,a7,pro,con,llm,1
a1,a7,pro,con,llm,1
a1,a7,pro,con,human,1
a1,a7,pro,con,llm,1
a1,a7,pro,con,llm,1
a1,a7,pro,con,llm,1
a1,a7,pro,con,llm,1
a1,a7,pro,con,llm,1
a1,a7,pro,con,llm,1
a1,a7,pro,con,llm,1
a1,a7,pro,con,llm,1
a1,a7,pro,con,unknown,0
a1,a7,pro,con,llm,1
a1,a7,pro,con,unknown,0
a1,a7,pro,con,human,0
a1,a7,pro,con,llm,0
a1,a7,pro,con,unknown,0
a1,a7,pro,con,unknown,0
a1,a7,pro,con,unknown,0
a1,a7,pro,con,unknown,0
a1,a7,pro,con,unknown,0
a1,a7,pro,con,unknown,0
a1,a7,pro,con,unknown,0
a1,a8,pro,con,human,0
a1,a7,pro,con,unknown,0
a1,a8,pro,con,human,0
a1,a7,pro,con,unknown,0
a1,a7,pro,con,unknown,0
a1,a8,pro,con,human,0
a1,a8,pro,con,human,0
a1,a8,pro,con,human,0
a1,a8,pro,con,human,0
a1,a8,pro,con,human,0
a1,a8,pro,con,human,0
a1,a8,pro,con,human,0
a1,a8,pro,con,human,0
a1,a8,pro,con,human,0
a1,a8,pro,con,human,0
a1,a8,pro,con,llm,0
a1,a8,pro,con,llm,0
a1,a8,pro,con,llm,0
a1,a8,pro,con,llm,0
a1,a8,pro,con,llm,0
a1,a8,pro,con,llm,0
a1,a8,pro,con,llm,0
a1,a8,pro,con,llm,0
a1,a8,pro,con,llm,0
a1,a8,pro,con,unknown,0
a1,a8,pro,con,llm,0
a1,a8,pro,con,unknown,0
a1,a8,pro,con,llm,0
a1,a8,pro,con,llm,0
a1,a8,pro,con,unknown,0
a1,a8,pro,con,unknown,0
a1,a8,pro,con,unknown,0
a1,a8,pro,con,unknown,0
a1,a8,pro,con,unknown,0
