,model_argument,received_argument,type,verdict
0,0,0,human,1
1,0,0,llm,1
2,0,0,unknown,1
3,0,1,human,1
4,0,1,llm,1
5,0,1,unknown,1
6,0,2,human,1
7,0,2,llm,1
8,0,2,unknown,1
9,0,3,human,1
10,0,3,llm,1
11,0,3,unknown,1
12,0,4,human,1
13,0,4,llm,1
14,0,4,unknown,1
15,0,5,human,0
16,0,5,llm,0
17,0,5,unknown,0
18,0,6,human,0
19,0,6,llm,1
20,0,6,unknown,0
21,0,7,human,0
22,0,7,llm,0
23,0,7,unknown,0
24,0,8,human,0
25,0,8,llm,0
26,0,8,unknown,0
27,0,9,human,0
28,0,9,llm,0
29,0,9,unknown,0
30,1,0,human,1
31,1,0,llm,1
32,1,0,unknown,1
33,1,1,human,1
34,1,1,llm,1
35,1,1,unknown,1
36,1,2,human,1
37,1,2,llm,1
38,1,2,unknown,1
39,1,3,human,1
40,1,3,llm,1
41,1,3,unknown,1
42,1,4,human,1
43,1,4,llm,1
44,1,4,unknown,1
45,1,5,human,0
46,1,5,llm,0
47,1,5,unknown,0
48,1,6,human,0
49,1,6,llm,0
50,1,6,unknown,0
51,1,7,human,0
52,1,7,llm,0
53,1,7,unknown,0
54,1,8,human,0
55,1,8,llm,0
56,1,8,unknown,0
57,1,9,human,0
58,1,9,llm,0
59,1,9,unknown,0
60,2,0,human,1
61,2,0,llm,1
62,2,0,unknown,1
63,2,1,human,1
64,2,1,llm,1
65,2,1,unknown,1
66,2,2,human,1
67,2,2,llm,1
68,2,2,unknown,1
69,2,3,human,1
70,2,3,llm,1
71,2,3,unknown,1
72,2,4,human,1
73,2,4,llm,1
74,2,4,unknown,1
75,2,5,human,0
76,2,5,llm,0
77,2,5,unknown,0
78,2,6,human,0
79,2,6,llm,0
80,2,6,unknown,0
81,2,7,human,0
82,2,7,llm,0
83,2,7,unknown,0
84,2,8,human,0
85,2,8,llm,0
86,2,8,unknown,0
87,2,9,human,0
88,2,9,llm,0
89,2,9,unknown,0
90,3,0,human,1
91,3,0,llm,1
92,3,0,unknown,1
93,3,1,human,1
94,3,1,llm,1
95,3,1,unknown,1
96,3,2,human,1
97,3,2,llm,1
98,3,2,unknown,1
99,3,3,human,1
100,3,3,llm,1
101,3,3,unknown,1
102,3,4,human,1
103,3,4,llm,1
104,3,4,unknown,1
105,3,5,human,0
106,3,5,llm,0
107,3,5,unknown,0
108,3,6,human,0
109,3,6,llm,0
110,3,6,unknown,1
111,3,7,human,1
112,3,7,llm,1
113,3,7,unknown,1
114,3,8,human,0
115,3,8,llm,0
116,3,8,unknown,0
117,3,9,human,0
118,3,9,llm,0
119,3,9,unknown,0
120,4,0,human,1
121,4,0,llm,1
122,4,0,unknown,1
123,4,1,human,1
124,4,1,llm,1
125,4,1,unknown,1
126,4,2,human,1
127,4,2,llm,1
128,4,2,unknown,1
129,4,3,human,1
130,4,3,llm,1
131,4,3,unknown,1
132,4,4,human,1
133,4,4,llm,1
134,4,4,unknown,1
135,4,5,human,0
136,4,5,llm,0
137,4,5,unknown,0
138,4,6,human,0
139,4,6,llm,0
140,4,6,unknown,0
141,4,7,human,0
142,4,7,llm,0
143,4,7,unknown,0
144,4,8,human,0
145,4,8,llm,0
146,4,8,unknown,0
147,4,9,human,0
148,4,9,llm,0
149,4,9,unknown,0
150,5,0,human,0
151,5,0,llm,0
152,5,0,unknown,0
153,5,1,human,0
154,5,1,llm,0
155,5,1,unknown,0
156,5,2,human,0
157,5,2,llm,0
158,5,2,unknown,0
159,5,3,human,1
160,5,3,llm,1
161,5,3,unknown,1
162,5,4,human,0
163,5,4,llm,0
164,5,4,unknown,0
165,5,5,human,1
166,5,5,llm,1
167,5,5,unknown,1
168,5,6,human,1
169,5,6,llm,1
170,5,6,unknown,1
171,5,7,human,1
172,5,7,llm,1
173,5,7,unknown,1
174,5,8,human,1
175,5,8,llm,1
176,5,8,unknown,1
177,5,9,human,1
178,5,9,llm,1
179,5,9,unknown,1
180,6,0,human,0
181,6,0,llm,0
182,6,0,unknown,0
183,6,1,human,0
184,6,1,llm,0
185,6,1,unknown,0
186,6,2,human,0
187,6,2,llm,0
188,6,2,unknown,0
189,6,3,human,1
190,6,3,llm,1
191,6,3,unknown,1
192,6,4,human,0
193,6,4,llm,0
194,6,4,unknown,0
195,6,5,human,1
196,6,5,llm,1
197,6,5,unknown,1
198,6,6,human,1
199,6,6,llm,1
200,6,6,unknown,1
201,6,7,human,1
202,6,7,llm,1
203,6,7,unknown,1
204,6,8,human,1
205,6,8,llm,1
206,6,8,unknown,1
207,6,9,human,1
208,6,9,llm,1
209,6,9,unknown,1
210,7,0,human,0
211,7,0,llm,0
212,7,0,unknown,0
213,7,1,human,0
214,7,1,llm,0
215,7,1,unknown,0
216,7,2,human,0
217,7,2,llm,0
218,7,2,unknown,0
219,7,3,human,1
220,7,3,llm,1
221,7,3,unknown,1
222,7,4,human,0
223,7,4,llm,1
224,7,4,unknown,1
225,7,5,human,1
226,7,5,llm,1
227,7,5,unknown,1
228,7,6,human,1
229,7,6,llm,1
230,7,6,unknown,1
231,7,7,human,1
232,7,7,llm,1
233,7,7,unknown,1
234,7,8,human,1
235,7,8,llm,1
236,7,8,unknown,1
237,7,9,human,1
238,7,9,llm,1
239,7,9,unknown,1
240,8,0,human,0
241,8,0,llm,0
242,8,0,unknown,0
243,8,1,human,0
244,8,1,llm,0
245,8,1,unknown,0
246,8,2,human,0
247,8,2,llm,0
248,8,2,unknown,0
249,8,3,human,0
250,8,3,llm,1
251,8,3,unknown,1
252,8,4,human,0
253,8,4,llm,1
254,8,4,unknown,1
255,8,5,human,1
256,8,5,llm,1
257,8,5,unknown,1
258,8,6,human,1
259,8,6,llm,1
260,8,6,unknown,1
261,8,7,human,1
262,8,7,llm,1
263,8,7,unknown,1
264,8,8,human,1
265,8,8,llm,1
266,8,8,unknown,1
267,8,9,human,1
268,8,9,llm,1
269,8,9,unknown,1
270,9,0,human,0
271,9,0,llm,0
272,9,0,unknown,0
273,9,1,human,0
274,9,1,llm,0
275,9,1,unknown,0
276,9,2,human,0
277,9,2,llm,0
278,9,2,unknown,0
279,9,3,human,1
280,9,3,llm,1
281,9,3,unknown,0
282,9,4,human,0
283,9,4,llm,0
284,9,4,unknown,0
285,9,5,human,1
286,9,5,llm,1
287,9,5,unknown,1
288,9,6,human,1
289,9,6,llm,1
290,9,6,unknown,1
291,9,7,human,1
292,9,7,llm,1
293,9,7,unknown,1
294,9,8,human,1
295,9,8,llm,1
296,9,8,unknown,1
297,9,9,human,1
298,9,9,llm,1
299,9,9,unknown,1
300,0,0,human,1
301,0,0,llm,1
302,0,0,unknown,1
303,0,1,human,1
304,0,1,llm,1
305,0,1,unknown,1
306,0,2,human,1
307,0,2,llm,1
308,0,2,unknown,1
309,0,3,human,1
310,0,3,llm,1
311,0,3,unknown,1
312,0,4,human,1
313,0,4,llm,1
314,0,4,unknown,1
315,0,5,human,0
316,0,5,llm,0
317,0,5,unknown,0
318,0,6,human,0
319,0,6,llm,0
320,0,6,unknown,0
321,0,7,human,0
322,0,7,llm,0
323,0,7,unknown,0
324,0,8,human,0
325,0,8,llm,0
326,0,8,unknown,0
327,0,9,human,0
328,0,9,llm,0
329,0,9,unknown,0
330,1,0,human,1
331,1,0,llm,1
332,1,0,unknown,1
333,1,1,human,1
334,1,1,llm,1
335,1,1,unknown,1
336,1,2,human,1
337,1,2,llm,1
338,1,2,unknown,1
339,1,3,human,1
340,1,3,llm,1
341,1,3,unknown,1
342,1,4,human,1
343,1,4,llm,1
344,1,4,unknown,1
345,1,5,human,0
346,1,5,llm,0
347,1,5,unknown,0
348,1,6,human,0
349,1,6,llm,0
350,1,6,unknown,0
351,1,7,human,0
352,1,7,llm,0
