pro,con,o_pc,o_cp,diff
a7,a13,1,3,-2
a7,a16,1,1,0
a5,a10,1,2,-1
a5,a13,3,2,1
a4,a11,1,2,-1
a6,a14,2,2,0
a5,a16,1,1,0
a4,a14,2,2,0
a6,a11,3,1,2
a1,a9,3,1,2
a1,a15,1,2,-1
a3,a12,3,4,-1
a2,a10,1,1,0
a1,a12,3,3,0
a3,a9,3,4,-1
a3,a15,3,3,0
a2,a13,2,2,0
a2,a16,1,1,0
a7,a12,1,3,-2
a8,a11,2,1,1
a7,a9,1,3,-2
a7,a15,1,1,0
a8,a14,4,1,3
a4,a10,1,1,0
a5,a9,1,1,0
a5,a15,1,2,-1
a4,a13,3,2,1
a6,a10,2,3,-1
a5,a12,1,3,-2
a4,a16,1,1,0
a6,a13,2,3,-1
a6,a16,3,1,2
a1,a11,3,1,2
a2,a12,3,1,2
a1,a14,3,1,2
a3,a11,2,3,-1
a2,a9,1,1,0
a2,a15,1,2,-1
a3,a14,3,3,0
a8,a10,1,3,-2
a7,a14,2,2,0
a8,a13,3,3,0
a7,a11,1,3,-2
a8,a16,1,1,0
a4,a12,1,3,-2
a5,a11,3,2,1
a4,a9,1,1,0
a4,a15,1,2,-1
a6,a12,3,3,0
a5,a14,1,1,0
a6,a9,3,3,0
a6,a15,3,3,0
a1,a10,1,1,0
a1,a13,1,3,-2
a3,a10,1,3,-2
a2,a14,3,1,2
a1,a16,3,1,2
a3,a13,3,3,0
a2,a11,1,1,0
a3,a16,3,3,0
a8,a12,1,3,-2
a7,a10,1,3,-2
a8,a9,3,3,0
a8,a15,1,4,-3
