cortege,setting,opp_valence,chosen
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a3
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,pro,a5
"(a1,a3,a5)",human,pro,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a5
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a5
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a5
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a5
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a1
"(a1,a3,a5)",human,con,a5
"(a1,a3,a5)",human,con,a5
"(a1,a3,a5)",human,con,a5
"(a1,a3,a5)",human,con,a1
