,1,2,3,4,5,6,7,8,9,10,opinion
0,0,0,0,0,0,0,0,0,0,0,-1
1,1,0,0,0,0,0,0,0,0,0,6
2,0,1,0,0,0,0,0,0,0,0,7
3,1,1,0,0,0,0,0,0,0,0,7
4,0,0,1,0,0,0,0,0,0,0,7
5,1,0,1,0,0,0,0,0,0,0,7
6,0,1,1,0,0,0,0,0,0,0,7
7,1,1,1,0,0,0,0,0,0,0,7
8,0,0,0,1,0,0,0,0,0,0,6
9,1,0,0,1,0,0,0,0,0,0,7
10,0,1,0,1,0,0,0,0,0,0,5
11,1,1,0,1,0,0,0,0,0,0,7
12,0,0,1,1,0,0,0,0,0,0,6
13,1,0,1,1,0,0,0,0,0,0,7
14,0,1,1,1,0,0,0,0,0,0,7
15,1,1,1,1,0,0,0,0,0,0,7
16,0,0,0,0,1,0,0,0,0,0,6
17,1,0,0,0,1,0,0,0,0,0,7
18,0,1,0,0,1,0,0,0,0,0,7
19,1,1,0,0,1,0,0,0,0,0,7
20,0,0,1,0,1,0,0,0,0,0,7
21,1,0,1,0,1,0,0,0,0,0,6
22,0,1,1,0,1,0,0,0,0,0,7
23,1,1,1,0,1,0,0,0,0,0,7
24,0,0,0,1,1,0,0,0,0,0,6
25,1,0,0,1,1,0,0,0,0,0,7
26,0,1,0,1,1,0,0,0,0,0,7
27,1,1,0,1,1,0,0,0,0,0,7
28,0,0,1,1,1,0,0,0,0,0,7
29,1,0,1,1,1,0,0,0,0,0,7
30,0,1,1,1,1,0,0,0,0,0,7
31,1,1,1,1,1,0,0,0,0,0,7
32,0,0,0,0,0,1,0,0,0,0,1
33,1,0,0,0,0,1,0,0,0,0,3
34,0,1,0,0,0,1,0,0,0,0,3
35,1,1,0,0,0,1,0,0,0,0,3
36,0,0,1,0,0,1,0,0,0,0,1
37,1,0,1,0,0,1,0,0,0,0,2
38,0,1,1,0,0,1,0,0,0,0,2
39,1,1,1,0,0,1,0,0,0,0,3
40,0,0,0,1,0,1,0,0,0,0,1
41,1,0,0,1,0,1,0,0,0,0,3
42,0,1,0,1,0,1,0,0,0,0,2
43,1,1,0,1,0,1,0,0,0,0,2
44,0,0,1,1,0,1,0,0,0,0,3
45,1,0,1,1,0,1,0,0,0,0,3
46,0,1,1,1,0,1,0,0,0,0,3
47,1,1,1,1,0,1,0,0,0,0,3
48,0,0,0,0,1,1,0,0,0,0,1
49,1,0,0,0,1,1,0,0,0,0,1
50,0,1,0,0,1,1,0,0,0,0,1
51,1,1,0,0,1,1,0,0,0,0,1
52,0,0,1,0,1,1,0,0,0,0,2
53,1,0,1,0,1,1,0,0,0,0,2
54,0,1,1,0,1,1,0,0,0,0,2
55,1,1,1,0,1,1,0,0,0,0,3
56,0,0,0,1,1,1,0,0,0,0,7
57,1,0,0,1,1,1,0,0,0,0,1
58,0,1,0,1,1,1,0,0,0,0,3
59,1,1,0,1,1,1,0,0,0,0,3
60,0,0,1,1,1,1,0,0,0,0,3
61,1,0,1,1,1,1,0,0,0,0,2
62,0,1,1,1,1,1,0,0,0,0,2
63,1,1,1,1,1,1,0,0,0,0,3
64,0,0,0,0,0,0,1,0,0,0,1
65,1,0,0,0,0,0,1,0,0,0,3
66,0,1,0,0,0,0,1,0,0,0,4
67,1,1,0,0,0,0,1,0,0,0,2
68,0,0,1,0,0,0,1,0,0,0,3
69,1,0,1,0,0,0,1,0,0,0,4
70,0,1,1,0,0,0,1,0,0,0,3
71,1,1,1,0,0,0,1,0,0,0,3
72,0,0,0,1,0,0,1,0,0,0,3
73,1,0,0,1,0,0,1,0,0,0,4
74,0,1,0,1,0,0,1,0,0,0,4
75,1,1,0,1,0,0,1,0,0,0,5
76,0,0,1,1,0,0,1,0,0,0,3
77,1,0,1,1,0,0,1,0,0,0,4
78,0,1,1,1,0,0,1,0,0,0,6
79,1,1,1,1,0,0,1,0,0,0,5
80,0,0,0,0,1,0,1,0,0,0,3
81,1,0,0,0,1,0,1,0,0,0,5
82,0,1,0,0,1,0,1,0,0,0,3
83,1,1,0,0,1,0,1,0,0,0,4
84,0,0,1,0,1,0,1,0,0,0,3
85,1,0,1,0,1,0,1,0,0,0,4
86,0,1,1,0,1,0,1,0,0,0,4
87,1,1,1,0,1,0,1,0,0,0,4
88,0,0,0,1,1,0,1,0,0,0,3
89,1,0,0,1,1,0,1,0,0,0,4
90,0,1,0,1,1,0,1,0,0,0,3
91,1,1,0,1,1,0,1,0,0,0,4
92,0,0,1,1,1,0,1,0,0,0,3
93,1,0,1,1,1,0,1,0,0,0,3
94,0,1,1,1,1,0,1,0,0,0,6
95,1,1,1,1,1,0,1,0,0,0,6
96,0,0,0,0,0,1,1,0,0,0,1
97,1,0,0,0,0,1,1,0,0,0,2
98,0,1,0,0,0,1,1,0,0,0,2
99,1,1,0,0,0,1,1,0,0,0,3
100,0,0,1,0,0,1,1,0,0,0,1
101,1,0,1,0,0,1,1,0,0,0,2
102,0,1,1,0,0,1,1,0,0,0,1
103,1,1,1,0,0,1,1,0,0,0,3
104,0,0,0,1,0,1,1,0,0,0,2
105,1,0,0,1,0,1,1,0,0,0,3
106,0,1,0,1,0,1,1,0,0,0,3
107,1,1,0,1,0,1,1,0,0,0,3
108,0,0,1,1,0,1,1,0,0,0,2
109,1,0,1,1,0,1,1,0,0,0,3
110,0,1,1,1,0,1,1,0,0,0,1
111,1,1,1,1,0,1,1,0,0,0,3
112,0,0,0,0,1,1,1,0,0,0,2
113,1,0,0,0,1,1,1,0,0,0,3
114,0,1,0,0,1,1,1,0,0,0,3
115,1,1,0,0,1,1,1,0,0,0,3
116,0,0,1,0,1,1,1,0,0,0,2
117,1,0,1,0,1,1,1,0,0,0,3
118,0,1,1,0,1,1,1,0,0,0,4
119,1,1,1,0,1,1,1,0,0,0,4
120,0,0,0,1,1,1,1,0,0,0,2
121,1,0,0,1,1,1,1,0,0,0,3
122,0,1,0,1,1,1,1,0,0,0,3
123,1,1,0,1,1,1,1,0,0,0,3
124,0,0,1,1,1,1,1,0,0,0,3
125,1,0,1,1,1,1,1,0,0,0,4
