cortege,setting,trial,chosen,chosen_position,first_arg
"(a2,a3)",llm,2,a3,2,a2
"(a2,a3)",llm,4,a3,2,a2
"(a2,a3)",llm,3,a2,1,a2
"(a2,a3)",llm,5,a3,2,a2
"(a2,a3)",llm,1,a2,1,a2
"(a2,a3)",llm,7,a2,1,a2
"(a2,a3)",llm,0,a2,1,a2
"(a2,a3)",llm,8,a2,1,a2
"(a2,a3)",llm,9,a2,1,a2
"(a2,a3)",llm,6,a2,1,a2
"(a2,a3)",unknown,0,a3,2,a2
"(a2,a3)",unknown,3,a2,1,a2
"(a2,a3)",unknown,2,a3,2,a2
"(a2,a3)",unknown,4,a2,1,a2
"(a2,a3)",unknown,1,a2,1,a2
"(a2,a3)",unknown,5,a3,2,a2
"(a2,a3)",unknown,6,a2,1,a2
"(a2,a3)",unknown,8,a2,1,a2
"(a3,a2)",llm,0,a3,1,a3
"(a3,a2)",llm,1,a3,1,a3
"(a3,a2)",llm,2,a3,1,a3
"(a2,a3)",unknown,7,a3,2,a2
"(a3,a2)",llm,5,a3,1,a3
"(a3,a2)",llm,4,a3,1,a3
"(a3,a2)",llm,6,a3,1,a3
"(a3,a2)",llm,3,a3,1,a3
"(a2,a3)",unknown,9,a2,1,a2
"(a3,a2)",llm,7,a3,1,a3
"(a3,a2)",llm,8,a3,1,a3
"(a3,a2)",unknown,0,a3,1,a3
"(a3,a2)",llm,9,a3,1,a3
"(a3,a2)",unknown,2,a3,1,a3
"(a3,a2)",unknown,3,a3,1,a3
"(a3,a2)",unknown,1,a3,1,a3
"(a3,a2)",unknown,4,a3,1,a3
"(a3,a2)",unknown,8,a3,1,a3
"(a3,a2)",unknown,5,a3,1,a3
"(a3,a2)",unknown,7,a3,1,a3
"(a3,a2)",unknown,6,a3,1,a3
"(a3,a2)",unknown,9,a3,1,a3
